"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"00000";"2090126";"5056.52";"l";"Non";"Non"
2022;"00000";"2090127";"4540.10";"l";"Non";"Non"
2022;"00000";"2090132";"8534.39";"l";"Non";"Non"
2022;"00000";"2090133";"210";"kg";"Non";"Non"
2022;"00000";"2090134";"521.16";"kg";"Non";"Non"
2022;"00000";"2090136";"2310";"l";"Non";"Non"
2022;"00000";"2090137";"2418.74";"kg";"Non";"Non"
2022;"00000";"2090146";"5623.60";"l";"Oui";"Non"
2022;"00000";"2090149";"25";"l";"Non";"Non"
2022;"00000";"2090153";"64.31";"kg";"Non";"Oui"
2022;"00000";"2090157";"18";"l";"Non";"Non"
2022;"00000";"2090159";"9.68";"kg";"Non";"Non"
2022;"00000";"2090168";"1005";"kg";"Non";"Non"
2022;"00000";"2090169";"91.5";"kg";"Non";"Non"
2022;"00000";"2090170";"879.56";"kg";"Non";"Non"
2022;"00000";"2090186";"110";"l";"Non";"Non"
2022;"00000";"2090188";"1380";"l";"Non";"Non"
2022;"00000";"2090199";"1697.05";"l";"Oui";"Non"
2022;"00000";"2090200";"3867.70";"l";"Oui";"Non"
2022;"00000";"2100002";"909.41";"l";"Non";"Non"
2022;"00000";"2100009";"16.68";"kg";"Non";"Non"
2022;"00000";"2100014";"9.6";"kg";"Non";"Non"
2022;"00000";"2100015";"2.27";"kg";"Non";"Non"
2022;"00000";"2100016";"8.75";"kg";"Non";"Non"
2022;"00000";"2100018";"327";"l";"Non";"Non"
2022;"00000";"2100021";"320";"kg";"Non";"Non"
2022;"00000";"2100026";"53.25";"l";"Non";"Non"
2022;"00000";"2100028";"145";"l";"Non";"Non"
2022;"00000";"2100030";"1805";"kg";"Non";"Non"
2022;"00000";"2100036";"4.6";"kg";"Non";"Non"
2022;"00000";"2100037";"32.02";"l";"Non";"Non"
2022;"00000";"2100038";"11075";"kg";"Non";"Non"
2022;"00000";"2100041";"4909.50";"l";"Non";"Non"
2022;"00000";"2100049";"80";"l";"Non";"Non"
2022;"00000";"2100051";"1065.95";"l";"Non";"Non"
2022;"00000";"2100052";"235.06";"l";"Non";"Non"
2022;"00000";"2100053";"60";"l";"Non";"Non"
2022;"00000";"2100056";"45";"l";"Non";"Non"
2022;"00000";"2100057";"140";"l";"Non";"Non"
2022;"00000";"2100059";"2554.75";"l";"Non";"Non"
2022;"00000";"2100060";"3929.23";"l";"Non";"Non"
2022;"00000";"2100066";"1.05";"kg";"Non";"Non"
2022;"00000";"2100067";"170.5";"kg";"Non";"Non"
2022;"00000";"2100069";"2.7";"kg";"Non";"Non"
2022;"00000";"2100072";"20";"l";"Non";"Oui"
2022;"00000";"2100078";"1.5";"l";"Non";"Non"
2022;"00000";"2100086";"50";"kg";"Non";"Oui"
2022;"00000";"2100099";"1";"l";"Oui";"Non"
2022;"00000";"2100108";"205";"l";"Non";"Non"
2022;"00000";"2100110";"232.79";"l";"Non";"Non"
2022;"00000";"2100111";"125";"l";"Non";"Non"
2022;"00000";"2100112";"193";"l";"Non";"Non"
2022;"00000";"2100114";"23";"kg";"Non";"Non"
2022;"00000";"2100121";"90.35";"l";"Non";"Non"
2022;"00000";"2100122";"3.3";"kg";"Non";"Non"
2022;"00000";"2100138";"725";"l";"Non";"Non"
2022;"00000";"2100140";"93.54";"l";"Non";"Non"
2022;"00000";"2100151";"167.43";"l";"Non";"Non"
2022;"00000";"2100175";"62.49";"l";"Non";"Non"
2022;"00000";"2100177";"12.50";"kg";"Non";"Non"
2022;"00000";"2100178";"24";"kg";"Non";"Non"
2022;"00000";"2100181";"7370.02";"kg";"Non";"Non"
2022;"00000";"2100186";"1214.17";"l";"Non";"Oui"
2022;"00000";"2100206";"125";"l";"Non";"Non"
2022;"00000";"2100214";"15";"l";"Non";"Non"
2022;"00000";"2100215";"180";"l";"Non";"Oui"
2022;"00000";"2100221";"7096.15";"kg";"Non";"Non"
2022;"00000";"2100231";"2971.73";"kg";"Non";"Non"
2022;"00000";"2100234";"105";"l";"Non";"Non"
2022;"00000";"2100245";"10";"l";"Non";"Non"
2022;"00000";"2110004";"60";"l";"Non";"Non"
2022;"00000";"2110005";"50";"l";"Non";"Non"
2022;"00000";"2110006";"1160";"kg";"Non";"Non"
2022;"00000";"2110009";"84";"l";"Non";"Non"
2022;"00000";"2110010";"1.0";"kg";"Non";"Non"
2022;"00000";"2110011";"10";"l";"Non";"Non"
2022;"00000";"2110012";"1988";"l";"Non";"Non"
2022;"00000";"2110018";"175.99";"l";"Non";"Non"
2022;"00000";"2110021";"6.99";"kg";"Non";"Non"
2022;"00000";"2110033";"25";"l";"Oui";"Non"
2022;"00000";"2110040";"19.27";"kg";"Oui";"Non"
2022;"00000";"2110042";"100";"l";"Non";"Oui"
2022;"00000";"2110054";"4";"kg";"Non";"Oui"
