annee,amm,substance,cas,quantite_substance,classification,classification_mention,achat_etranger
2022,2080029,penoxsulame,219714-96-2,484.6696,Env A,,Non
2022,2080036,hydroxyde de sodium,1310-73-2,3.021375,Autre,,Non
2022,2080036,hypochlorite de sodium,7681-52-9,6.04275,Env A,,Non
2022,2080038,pyrethrines,8003-34-7,2396.6009,Env A,,Oui
2022,2080039,"2,4-db",94-82-6,12.0,Env A,,Non
2022,2080049,thiamethoxam,153719-23-4,42127.61406,Env A,,Oui
2022,2080053,diflufenicanil,83164-33-4,0.09657,Env B,,Non
2022,2080053,glyphosate,1071-83-6,1.5984,Env A,,Non
2022,2080053,oxadiazon,19666-30-9,1.5984,Env A,,Non
2022,2080054,acetamipride,135410-20-7,0.000795,Env B,,Non
2022,2080056,pseudomonas chlororaphis souche ma 342,,29.4576,Autre,,Non
2022,2080060,pyriproxyfene,95737-68-1,522.5,Env A,,Oui
2022,2080062,benalaxyl-m,98243-83-5,3.4,Env A,,Oui
2022,2080062,mancozebe,8018-01-7,55.25,CMR,Exclusion,Oui
2022,2080063,benalaxyl-m,98243-83-5,2890.228375,Env A,,Oui
2022,2080063,folpel,133-07-3,36994.9296,CMR,,Oui
2022,2080070,boscalid,188425-85-6,2412.79416,Env A,,Non
2022,2080070,pyraclostrobine,175013-18-0,1225.54624,Santé A,,Non
2022,2080089,thiaclopride,111988-49-9,0.00054,CMR,Exclusion,Non
2022,2080090,thiaclopride,111988-49-9,0.1197,CMR,Exclusion,Non
2022,2080091,metaldehyde,108-62-3,0.075,CMR,,Non
2022,2080094,florasulame,145701-23-1,389.628,Env A,,Non
2022,2080094,isoxaben,82558-50-7,5941.827,Env B,,Non
2022,2080097,cypermethrine,52315-07-8,236.9,Env A,,Non
2022,2080098,mandipropamide,374726-62-2,55180.4275,Env A,,Oui
2022,2080100,folpel,133-07-3,581.304,CMR,,Non
2022,2080100,mandipropamide,374726-62-2,72.663,Env A,,Non
2022,2080101,acetamipride,135410-20-7,40.6,Env B,,Non
2022,2080102,azoxystrobine,131860-33-8,6564.96,Santé A,,Oui
2022,2080102,difenoconazole,119446-68-3,4103.1,Env A,,Oui
2022,2080104,benalaxyl-m,98243-83-5,1066.0125,Env A,,Non
2022,2080104,folpel,133-07-3,13644.96,CMR,,Non
2022,2080105,glyphosate,1071-83-6,66052.8,Env A,,Oui
2022,2080112,thirame,137-26-8,1741.0752,Env A,,Non
2022,2080113,glyphosate,1071-83-6,312.8,Env A,,Non
2022,2080114,cymoxanil,57966-95-7,11548.341,CMR,,Oui
2022,2080114,propamocarbe hcl,25606-41-1,92386.728,Autre,,Oui
2022,2080117,prosulfuron,94125-34-5,4476.3525,Env A,Substitution,Oui
2022,2080121,dimethomorphe,110488-70-5,379.305,Env A,Exclusion,Non
2022,2080121,dithianon,3347-22-6,885.045,Env A,,Non
2022,2080123,metsulfuron-methyl,74223-64-6,2448.594,Env A,Substitution,Non
2022,2080124,metsulfuron-methyl,74223-64-6,407.43,Env A,Substitution,Oui
2022,2080125,metsulfuron-methyl,74223-64-6,3285.466,Env A,Substitution,Oui
2022,2080129,meptyldinocap,131-72-6,359.8,Env A,,Non
2022,2080133,glyphosate,1071-83-6,0.042,Env A,,Non
2022,2080136,pyridate,55512-33-9,11333.9745,Env A,,Oui
2022,2080145,diflufenicanil,83164-33-4,161197.69998,Env B,,Oui
2022,2080145,flufenacet,142459-58-3,322395.39996,Env A,,Oui
2022,2080147,difenoconazole,119446-68-3,3967.125,Env A,,Non
2022,2080147,paclobutrazol,76738-62-0,1983.5625,CMR,,Non
2022,2090001,proquinazid,189278-12-4,2621.616,CMR,,Oui
2022,2090008,thirame,137-26-8,533.98072,Env A,,Non
2022,2090009,pendimethaline,40487-42-1,46796.3199,Env A,Substitution,Non
2022,2090009,picolinafen,137641-05-5,1063.552725,Env A,,Non
2022,2090010,phenmediphame,13684-63-4,2007.36,Env A,,Non
2022,2090011,pendimethaline,40487-42-1,92151.3047,Env A,Substitution,Non
2022,2090016,imazamox,114311-32-9,9469.15217,Env A,Substitution,Non
2022,2090016,pendimethaline,40487-42-1,141753.775,Env A,Substitution,Non
2022,2090017,fluazinam,79622-59-6,2567.55,CMR,,Non
2022,2090019,6-benzyladenine,1214-39-7,1106.92,CMR,,Oui
2022,2090024,sulcotrione,99105-77-8,193.5,CMR,,Non
2022,2090026,pyrimethanil,53112-28-0,4.0,Env A,,Non
2022,2090027,metamitrone,41394-05-2,294.0,Env A,,Non
2022,2090028,metamitrone,41394-05-2,17906.0,Env A,,Oui
2022,2090033,difenoconazole,119446-68-3,0.00167,Env A,,Non
2022,2090034,difenoconazole,119446-68-3,0.000125,Env A,,Non
2022,2090036,glyphosate,1071-83-6,0.273,Env A,,Non
2022,2090037,dicamba,1918-00-9,21256.79,Env B,,Oui
2022,2090037,prosulfuron,94125-34-5,2125.679,Env A,Substitution,Oui
2022,2090039,ethofumesate,26225-79-6,59891.31,Env A,,Oui
2022,2090041,cloquintocet-mexyl,99607-70-2,1909.30275,Autre,,Non
2022,2090041,pyroxsulame,422556-08-9,1909.30275,Env A,,Non
2022,2090042,cloquintocet-mexyl,99607-70-2,1823.78716,Autre,,Oui
2022,2090042,florasulame,145701-23-1,608.81756,Env A,,Oui
